saleprice,street,neighborhood_Blmngtn,neighborhood_Blueste,neighborhood_BrDale,neighborhood_BrkSide,neighborhood_ClearCr,neighborhood_CollgCr,neighborhood_Crawfor,neighborhood_Edwards,neighborhood_Gilbert,neighborhood_Greens,neighborhood_GrnHill,neighborhood_IDOTRR,neighborhood_Landmrk,neighborhood_MeadowV,neighborhood_Mitchel,neighborhood_NAmes,neighborhood_NPkVill,neighborhood_NWAmes,neighborhood_NoRidge,neighborhood_NridgHt,neighborhood_SWISU,neighborhood_Sawyer,neighborhood_SawyerW,neighborhood_Somerst,neighborhood_StoneBr,neighborhood_Timber,neighborhood_Veenker,condition_1_FeedArt,condition_1_Pos,condition_1_Rail,overall_qual,mas_vnr_type_BrkFace,mas_vnr_type_Stone,exter_qual,foundation,bsmt_qual,bsmt_exposure,heating_qc,central_air,electrical,functional,fireplace_qu,garage_finish,paved_drive,sale_type_COD,sale_type_New,sale_type_Others,lot_frontage_imputed,year_built,year_remod/add,mas_vnr_area,bsmtfin_sf_1,total_bsmt_sf,gr_liv_area,full_bath,garage_area,wood_deck_sf,open_porch_sf
130500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,1,0,2,0,3,1,4,1,1,1,0,2,1,0,0,0,79.92623476341603,1976,2005,289.0,533.0,725.0,1479,2,475.0,0,44
220000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0,2,1,4,1,4,1,1,1,3,2,1,0,0,0,43.0,1996,1997,132.0,637.0,913.0,2122,2,559.0,0,74
109000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,3,1,2,1,1,1,0,1,1,0,0,0,68.0,1953,2007,0.0,731.0,1057.0,1057,1,246.0,0,52
174000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,1,1,4,1,3,1,1,1,0,3,1,0,0,0,73.0,2006,2007,0.0,0.0,384.0,1444,2,400.0,100,0
138500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,1,1,2,1,2,1,1,1,0,1,0,0,0,0,82.0,1900,1993,0.0,0.0,676.0,1445,2,484.0,0,59
190000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,2,0,3,1,4,1,1,0,4,3,1,0,0,0,137.0,1966,2002,0.0,247.0,1517.0,1888,2,578.0,0,0
140000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,1,4,4,3,1,1,1,0,3,1,0,1,0,35.0,2005,2006,82.0,547.0,547.0,1072,2,525.0,0,44
142000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,3,1,1,1,1,1,0,2,1,1,0,0,80.87817233632276,1959,1959,180.0,1000.0,1188.0,1188,1,531.0,0,0
112500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,1,0,3,1,2,1,1,1,0,1,1,0,0,0,79.29216805464995,1952,1952,0.0,292.0,924.0,924,1,420.0,0,324
135000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,4,3,2,1,1,1,3,1,1,0,0,0,70.0,1969,1969,192.0,650.0,1040.0,2080,1,504.0,335,0
85400,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,3,1,2,1,1,1,0,1,1,1,0,0,21.0,1971,1971,232.0,387.0,483.0,987,1,264.0,0,0
183600,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,1,4,3,4,1,1,1,0,2,1,0,0,0,64.0,2005,2005,0.0,393.0,1208.0,1208,2,632.0,105,58
131000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,0,0,2,1,0,0,4,1,1,0,3,1,0,0,0,0,120.0,1880,2007,0.0,0.0,0.0,2016,1,576.0,0,0
200000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,1,0,2,1,4,1,4,1,1,1,0,1,1,0,0,1,24.0,1999,2000,456.0,813.0,960.0,1607,2,480.0,169,0
193000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,1,4,3,4,1,1,1,0,2,1,0,0,0,74.0,2007,2007,0.0,24.0,1351.0,1361,2,610.0,0,50
173500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,5,3,4,1,1,1,0,2,1,0,0,0,93.0,2004,2005,0.0,0.0,1430.0,1430,2,624.0,0,0
98000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,3,1,1,0,1,1,0,1,1,1,0,0,34.0,1916,1950,0.0,0.0,624.0,1344,1,513.0,0,0
139000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,0,1,1,3,1,2,1,1,1,0,1,1,0,0,0,80.0,1963,1963,0.0,651.0,1121.0,1121,1,480.0,0,80
143500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,0,1,0,3,1,4,1,1,1,3,2,1,0,0,0,71.0,1977,1977,148.0,0.0,660.0,1285,1,528.0,138,0
215200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,1,1,4,2,4,1,1,1,0,1,1,0,0,1,72.0,2009,2009,0.0,24.0,756.0,1547,2,614.0,169,45
129000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,1,0,4,1,3,1,1,1,1,3,1,0,0,0,109.0,1968,1968,0.0,492.0,894.0,894,1,450.0,0,0
