Species,Trap,Latitude,Longitude,Date_month,NumMosquitos,WnvPresent,Tmax,Tmin,Tavg,DewPoint,WetBulb,PrecipTotal,Tmax_lag1,Tmax_lag2,Tmax_lag3,Tmax_lag4,Tmax_lag5,Tmax_lag6,Tmax_lag7,Tmin_lag1,Tmin_lag2,Tmin_lag3,Tmin_lag4,Tmin_lag5,Tmin_lag6,Tmin_lag7,Tavg_lag1,Tavg_lag2,Tavg_lag3,Tavg_lag4,Tavg_lag5,Tavg_lag6,Tavg_lag7,DewPoint_lag1,DewPoint_lag2,DewPoint_lag3,DewPoint_lag4,DewPoint_lag5,DewPoint_lag6,DewPoint_lag7,WetBulb_lag1,WetBulb_lag2,WetBulb_lag3,WetBulb_lag4,WetBulb_lag5,WetBulb_lag6,WetBulb_lag7,PrecipTotal_lag1,PrecipTotal_lag2,PrecipTotal_lag3,PrecipTotal_lag4,PrecipTotal_lag5,PrecipTotal_lag6,PrecipTotal_lag7,Date_week
CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,5,1,0,88.0,62.5,75.5,58.5,65.5,0.0,77.5,75.0,67.5,68.0,88.0,89.0,87.0,52.0,58.0,49.5,56.5,64.5,63.0,57.5,65.0,66.5,58.5,62.5,76.5,76.5,72.5,48.0,48.0,55.0,45.0,53.5,48.5,45.0,56.5,56.5,56.5,53.0,63.0,61.0,58.0,0.0,0.06,0.645,0.045,0.01,0.0,0.0,22
CULEX RESTUANS,T048,41.867108,-87.654224,5,2,0,88.0,62.5,75.5,58.5,65.5,0.0,77.5,75.0,67.5,68.0,88.0,89.0,87.0,52.0,58.0,49.5,56.5,64.5,63.0,57.5,65.0,66.5,58.5,62.5,76.5,76.5,72.5,48.0,48.0,55.0,45.0,53.5,48.5,45.0,56.5,56.5,56.5,53.0,63.0,61.0,58.0,0.0,0.06,0.645,0.045,0.01,0.0,0.0,22
CULEX RESTUANS,T091,41.862292,-87.64886,5,1,0,88.0,62.5,75.5,58.5,65.5,0.0,77.5,75.0,67.5,68.0,88.0,89.0,87.0,52.0,58.0,49.5,56.5,64.5,63.0,57.5,65.0,66.5,58.5,62.5,76.5,76.5,72.5,48.0,48.0,55.0,45.0,53.5,48.5,45.0,56.5,56.5,56.5,53.0,63.0,61.0,58.0,0.0,0.06,0.645,0.045,0.01,0.0,0.0,22
CULEX RESTUANS,T049,41.896282,-87.655232,5,1,0,88.0,62.5,75.5,58.5,65.5,0.0,77.5,75.0,67.5,68.0,88.0,89.0,87.0,52.0,58.0,49.5,56.5,64.5,63.0,57.5,65.0,66.5,58.5,62.5,76.5,76.5,72.5,48.0,48.0,55.0,45.0,53.5,48.5,45.0,56.5,56.5,56.5,53.0,63.0,61.0,58.0,0.0,0.06,0.645,0.045,0.01,0.0,0.0,22
CULEX RESTUANS,T153,41.907645,-87.760886,5,1,0,88.0,62.5,75.5,58.5,65.5,0.0,77.5,75.0,67.5,68.0,88.0,89.0,87.0,52.0,58.0,49.5,56.5,64.5,63.0,57.5,65.0,66.5,58.5,62.5,76.5,76.5,72.5,48.0,48.0,55.0,45.0,53.5,48.5,45.0,56.5,56.5,56.5,53.0,63.0,61.0,58.0,0.0,0.06,0.645,0.045,0.01,0.0,0.0,22
CULEX RESTUANS,T045,41.9216,-87.666455,5,2,0,88.0,62.5,75.5,58.5,65.5,0.0,77.5,75.0,67.5,68.0,88.0,89.0,87.0,52.0,58.0,49.5,56.5,64.5,63.0,57.5,65.0,66.5,58.5,62.5,76.5,76.5,72.5,48.0,48.0,55.0,45.0,53.5,48.5,45.0,56.5,56.5,56.5,53.0,63.0,61.0,58.0,0.0,0.06,0.645,0.045,0.01,0.0,0.0,22
CULEX RESTUANS,T094,41.720848,-87.666014,5,3,0,88.0,62.5,75.5,58.5,65.5,0.0,77.5,75.0,67.5,68.0,88.0,89.0,87.0,52.0,58.0,49.5,56.5,64.5,63.0,57.5,65.0,66.5,58.5,62.5,76.5,76.5,72.5,48.0,48.0,55.0,45.0,53.5,48.5,45.0,56.5,56.5,56.5,53.0,63.0,61.0,58.0,0.0,0.06,0.645,0.045,0.01,0.0,0.0,22
CULEX PIPIENS/RESTUANS,T050,41.919343,-87.694259,5,1,0,88.0,62.5,75.5,58.5,65.5,0.0,77.5,75.0,67.5,68.0,88.0,89.0,87.0,52.0,58.0,49.5,56.5,64.5,63.0,57.5,65.0,66.5,58.5,62.5,76.5,76.5,72.5,48.0,48.0,55.0,45.0,53.5,48.5,45.0,56.5,56.5,56.5,53.0,63.0,61.0,58.0,0.0,0.06,0.645,0.045,0.01,0.0,0.0,22
CULEX PIPIENS/RESTUANS,T054,41.921965,-87.632085,5,2,0,88.0,62.5,75.5,58.5,65.5,0.0,77.5,75.0,67.5,68.0,88.0,89.0,87.0,52.0,58.0,49.5,56.5,64.5,63.0,57.5,65.0,66.5,58.5,62.5,76.5,76.5,72.5,48.0,48.0,55.0,45.0,53.5,48.5,45.0,56.5,56.5,56.5,53.0,63.0,61.0,58.0,0.0,0.06,0.645,0.045,0.01,0.0,0.0,22
CULEX RESTUANS,T054,41.921965,-87.632085,5,3,0,88.0,62.5,75.5,58.5,65.5,0.0,77.5,75.0,67.5,68.0,88.0,89.0,87.0,52.0,58.0,49.5,56.5,64.5,63.0,57.5,65.0,66.5,58.5,62.5,76.5,76.5,72.5,48.0,48.0,55.0,45.0,53.5,48.5,45.0,56.5,56.5,56.5,53.0,63.0,61.0,58.0,0.0,0.06,0.645,0.045,0.01,0.0,0.0,22
