Species,Trap,Longitude,Latitude,Date_week,Date_month,NumMosquitos,WnvPresent,Tmax,Tmin,Tavg,DewPoint,WetBulb,PrecipTotal,Tmax_lag1,Tmax_lag2,Tmax_lag3,Tmax_lag4,Tmax_lag5,Tmax_lag6,Tmax_lag7,Tmin_lag1,Tmin_lag2,Tmin_lag3,Tmin_lag4,Tmin_lag5,Tmin_lag6,Tmin_lag7,Tavg_lag1,Tavg_lag2,Tavg_lag3,Tavg_lag4,Tavg_lag5,Tavg_lag6,Tavg_lag7,DewPoint_lag1,DewPoint_lag2,DewPoint_lag3,DewPoint_lag4,DewPoint_lag5,DewPoint_lag6,DewPoint_lag7,WetBulb_lag1,WetBulb_lag2,WetBulb_lag3,WetBulb_lag4,WetBulb_lag5,WetBulb_lag6,WetBulb_lag7,PrecipTotal_lag1,PrecipTotal_lag2,PrecipTotal_lag3,PrecipTotal_lag4,PrecipTotal_lag5,PrecipTotal_lag6,PrecipTotal_lag7
CULEX PIPIENS,T096,-87.677512,41.731922,22,5,1,0,88.0,62.5,75.25,58.5,65.5,0.0,77.5,75.0,67.5,68.0,88.0,89.0,87.0,52.0,58.0,49.5,56.5,64.5,63.0,57.5,64.75,66.5,58.5,62.25,76.25,76.0,72.25,48.0,48.0,55.0,45.0,53.5,48.5,45.0,56.5,56.5,56.5,53.0,63.0,61.0,58.0,0.0,0.06,0.645,0.045,0.01,0.0,0.0
CULEX PIPIENS/RESTUANS,T002,-87.800991,41.95469,22,5,1,0,88.0,62.5,75.25,58.5,65.5,0.0,77.5,75.0,67.5,68.0,88.0,89.0,87.0,52.0,58.0,49.5,56.5,64.5,63.0,57.5,64.75,66.5,58.5,62.25,76.25,76.0,72.25,48.0,48.0,55.0,45.0,53.5,48.5,45.0,56.5,56.5,56.5,53.0,63.0,61.0,58.0,0.0,0.06,0.645,0.045,0.01,0.0,0.0
CULEX PIPIENS/RESTUANS,T015,-87.824812,41.974089,22,5,1,0,88.0,62.5,75.25,58.5,65.5,0.0,77.5,75.0,67.5,68.0,88.0,89.0,87.0,52.0,58.0,49.5,56.5,64.5,63.0,57.5,64.75,66.5,58.5,62.25,76.25,76.0,72.25,48.0,48.0,55.0,45.0,53.5,48.5,45.0,56.5,56.5,56.5,53.0,63.0,61.0,58.0,0.0,0.06,0.645,0.045,0.01,0.0,0.0
CULEX PIPIENS/RESTUANS,T048,-87.654224,41.867108,22,5,1,0,88.0,62.5,75.25,58.5,65.5,0.0,77.5,75.0,67.5,68.0,88.0,89.0,87.0,52.0,58.0,49.5,56.5,64.5,63.0,57.5,64.75,66.5,58.5,62.25,76.25,76.0,72.25,48.0,48.0,55.0,45.0,53.5,48.5,45.0,56.5,56.5,56.5,53.0,63.0,61.0,58.0,0.0,0.06,0.645,0.045,0.01,0.0,0.0
CULEX PIPIENS/RESTUANS,T050,-87.694259,41.919343,22,5,1,0,88.0,62.5,75.25,58.5,65.5,0.0,77.5,75.0,67.5,68.0,88.0,89.0,87.0,52.0,58.0,49.5,56.5,64.5,63.0,57.5,64.75,66.5,58.5,62.25,76.25,76.0,72.25,48.0,48.0,55.0,45.0,53.5,48.5,45.0,56.5,56.5,56.5,53.0,63.0,61.0,58.0,0.0,0.06,0.645,0.045,0.01,0.0,0.0
CULEX PIPIENS/RESTUANS,T054,-87.632085,41.921965,22,5,2,0,88.0,62.5,75.25,58.5,65.5,0.0,77.5,75.0,67.5,68.0,88.0,89.0,87.0,52.0,58.0,49.5,56.5,64.5,63.0,57.5,64.75,66.5,58.5,62.25,76.25,76.0,72.25,48.0,48.0,55.0,45.0,53.5,48.5,45.0,56.5,56.5,56.5,53.0,63.0,61.0,58.0,0.0,0.06,0.645,0.045,0.01,0.0,0.0
CULEX PIPIENS/RESTUANS,T086,-87.676709,41.688324,22,5,1,0,88.0,62.5,75.25,58.5,65.5,0.0,77.5,75.0,67.5,68.0,88.0,89.0,87.0,52.0,58.0,49.5,56.5,64.5,63.0,57.5,64.75,66.5,58.5,62.25,76.25,76.0,72.25,48.0,48.0,55.0,45.0,53.5,48.5,45.0,56.5,56.5,56.5,53.0,63.0,61.0,58.0,0.0,0.06,0.645,0.045,0.01,0.0,0.0
CULEX PIPIENS/RESTUANS,T129,-87.61156,41.891126,22,5,1,0,88.0,62.5,75.25,58.5,65.5,0.0,77.5,75.0,67.5,68.0,88.0,89.0,87.0,52.0,58.0,49.5,56.5,64.5,63.0,57.5,64.75,66.5,58.5,62.25,76.25,76.0,72.25,48.0,48.0,55.0,45.0,53.5,48.5,45.0,56.5,56.5,56.5,53.0,63.0,61.0,58.0,0.0,0.06,0.645,0.045,0.01,0.0,0.0
CULEX PIPIENS/RESTUANS,T143,-87.795585,41.999129,22,5,1,0,88.0,62.5,75.25,58.5,65.5,0.0,77.5,75.0,67.5,68.0,88.0,89.0,87.0,52.0,58.0,49.5,56.5,64.5,63.0,57.5,64.75,66.5,58.5,62.25,76.25,76.0,72.25,48.0,48.0,55.0,45.0,53.5,48.5,45.0,56.5,56.5,56.5,53.0,63.0,61.0,58.0,0.0,0.06,0.645,0.045,0.01,0.0,0.0
CULEX PIPIENS/RESTUANS,T148,-87.687769,42.01743,22,5,1,0,88.0,62.5,75.25,58.5,65.5,0.0,77.5,75.0,67.5,68.0,88.0,89.0,87.0,52.0,58.0,49.5,56.5,64.5,63.0,57.5,64.75,66.5,58.5,62.25,76.25,76.0,72.25,48.0,48.0,55.0,45.0,53.5,48.5,45.0,56.5,56.5,56.5,53.0,63.0,61.0,58.0,0.0,0.06,0.645,0.045,0.01,0.0,0.0
CULEX RESTUANS,T002,-87.800991,41.95469,22,5,1,0,88.0,62.5,75.25,58.5,65.5,0.0,77.5,75.0,67.5,68.0,88.0,89.0,87.0,52.0,58.0,49.5,56.5,64.5,63.0,57.5,64.75,66.5,58.5,62.25,76.25,76.0,72.25,48.0,48.0,55.0,45.0,53.5,48.5,45.0,56.5,56.5,56.5,53.0,63.0,61.0,58.0,0.0,0.06,0.645,0.045,0.01,0.0,0.0
CULEX RESTUANS,T007,-87.769279,41.994991,22,5,1,0,88.0,62.5,75.25,58.5,65.5,0.0,77.5,75.0,67.5,68.0,88.0,89.0,87.0,52.0,58.0,49.5,56.5,64.5,63.0,57.5,64.75,66.5,58.5,62.25,76.25,76.0,72.25,48.0,48.0,55.0,45.0,53.5,48.5,45.0,56.5,56.5,56.5,53.0,63.0,61.0,58.0,0.0,0.06,0.645,0.045,0.01,0.0,0.0
CULEX RESTUANS,T015,-87.824812,41.974089,22,5,4,0,88.0,62.5,75.25,58.5,65.5,0.0,77.5,75.0,67.5,68.0,88.0,89.0,87.0,52.0,58.0,49.5,56.5,64.5,63.0,57.5,64.75,66.5,58.5,62.25,76.25,76.0,72.25,48.0,48.0,55.0,45.0,53.5,48.5,45.0,56.5,56.5,56.5,53.0,63.0,61.0,58.0,0.0,0.06,0.645,0.045,0.01,0.0,0.0
